full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi
dagster-io/dagster,A1,cyclomatic_complexity_p90,50,41,9,1.0,0.9999999999999999,8.784238722092024e-16,0.0,0.9999999999999981,1.0000000000000016,-2.5768775134549227e-16,1.4689897829348177e-16,0.08605927735036446,-5.456097488007165e-16,3.0234246109732026e-17,-1.9949319973733282e-17,0.17506269698154894,46,3.0000000000000013,3.473728116271925e-16,0.0,3.0000000000000004,3.000000000000002,1.4483611622045504e-17,-4.833719875294247e-17,8.438558805475906e-18
dotnet/android,A1,cyclomatic_complexity_p90,51,42,9,0.20558499877251213,-1.272124625716592,0.37742320091510684,0.0015074440387964013,-2.011874099510201,-0.5323751519229826,0.19810013316638772,0.0630954536671888,0.002921640287006277,0.07443304397869767,0.3217672223540778,0.0025989553088540856,0.6769422325195447,47,5.851554781597726,0.14749918660752648,8.610945212489015e-38,5.562456375846974,6.140653187348478,0.006199033003193452,-0.009551149377405081,0.01474905999511325
dotnet/aspire,A1,cyclomatic_complexity_p90,30,20,10,-inf,-3.752747560815866e-16,1.6169885963075357e-15,0.8182909739621392,-3.5445724048443565e-15,2.7940228926811835e-15,-2.527703026742699e-16,2.444243000567606e-16,0.31059180949555953,-7.318419307855206e-16,2.263013254369809e-16,1.5979811969343465e-16,0.0601010321721502,26,4.0,9.048088097218707e-16,0.0,3.9999999999999982,4.000000000000002,8.129412324621167e-17,4.616381308597944e-19,3.191346012560095e-16
dotnet/aspnetcore,A1,cyclomatic_complexity_p90,51,41,10,-inf,-1.9259487778750275e-16,1.3384692547437474e-15,0.8862010398936515,-2.8159946170852475e-15,2.4308048615102418e-15,8.59345209709158e-17,2.117277000573013e-16,0.6866779846795764,-3.2905177114139473e-16,5.009208130832263e-16,-6.704755623227109e-17,0.010745602632359607,47,3.0,5.859319286757285e-16,0.0,2.9999999999999987,3.0000000000000013,2.5237448186937733e-17,-1.1651295467866905e-16,-1.7582157785873128e-17
dotnet/docfx,A1,cyclomatic_complexity_p90,51,41,10,0.006468591582469707,-0.03514842069708153,0.1001334619391349,0.7271451426004374,-0.23141000609778595,0.16111316470362286,-0.0005210009319077781,0.015934554683074278,0.9740552370219646,-0.03175272811073336,0.030710726246917806,0.0005210009319074567,0.7850537209690123,47,5.013984519358098,0.04409703763614992,5.014683280595369e-59,4.9275543255912435,5.100414713124952,0.0018993617655468217,-0.0032017481285643136,0.004243749992379227
dotnet/dotnet-api-docs,A1,cyclomatic_complexity_p90,51,42,9,-inf,-1.9595789860982395e-16,4.545481134422516e-16,0.6683630185056851,-1.0868722009566369e-15,6.94956403736989e-16,-2.0587869211542448e-16,8.003756053290145e-17,0.013323454822487538,-3.627523107599113e-16,-4.900507347093765e-17,2.3724802622942448e-17,0.0041115243273130864,47,2.999999999999999,1.8710500345911342e-16,0.0,2.9999999999999987,2.9999999999999996,7.863569407958175e-18,8.312206583344426e-18,3.913739866254047e-17
dotnet/maui,A1,cyclomatic_complexity_p90,51,41,10,-inf,-1.2652026160092192e-16,1.1906047096253851e-15,0.9158239416027528,-2.460105492466677e-15,2.207064969264833e-15,6.440504926378371e-16,1.8834061439382568e-16,0.001305846404906156,2.7490288842593876e-16,1.0131980968497354e-15,-5.191241613157087e-17,0.025185208040729663,47,3.9999999999999996,5.212108732578574e-16,0.0,3.9999999999999987,4.000000000000001,2.244976210469265e-17,-9.591394985676847e-17,-7.91088240637327e-18
dotnet/msbuild,A1,cyclomatic_complexity_p90,51,41,10,0.7833967206460996,0.2879456220764733,0.16320721132467833,0.08418080635769183,-0.031940512119896236,0.6078317562728428,0.036403248782014064,0.02594468675974382,0.16715611695174015,-0.014448337267083826,0.08725483483111196,-0.03640324878201399,1.2846537454145093e-15,47,5.190480856384924,0.07179892072652751,7.783160632836871e-50,5.04975497176093,5.331206741008918,0.0030925461696705344,-0.042464639274568235,-0.03034185828945974
dotnet/sdk,A1,cyclomatic_complexity_p90,51,41,10,0.28408045385743075,-0.0016466890724167644,0.3426464767034526,0.9961858849915116,-0.6732337834111838,0.6699404052663503,-0.12241146721619212,0.05462041044232912,0.029780200287797678,-0.22946747168315718,-0.015355462749227042,0.025510716474053882,0.0002878041840166721,47,3.834388017263383,0.1511556703580682,4.4906948997825597e-29,3.538122903361569,4.130653131165197,0.006510625572914996,0.012749890351140492,0.03827154259696727
dropseed/plain,A1,cyclomatic_complexity_p90,51,41,10,0.6644169922048921,-0.9113516077599322,0.5651343319167879,0.11352077523659107,-2.0190148983168363,0.19631168279697198,-0.09612054298710458,0.09068506547028377,0.2945896444604874,-0.27386327130886073,0.08162218533465158,0.0961205429871046,1.2287897385443678e-11,47,2.999738482406384,0.2509604331351434,7.460581963372184e-16,2.5078560334615028,3.491620931351265,0.010809448364649308,0.07493402419239195,0.11730706178181724
