full_name,metric,drop_degenerate,re_Group,re_t_rel_post,re_post_num
reflex-dev/reflex,cyclomatic_complexity_p90,False,-0.42162111313985934,0.005695519029505391,0.1487201650170554
roboflow/inference,cyclomatic_complexity_p90,False,-0.9649456929255192,0.002908002556898224,-0.23454258402472064
spcl/dace,cyclomatic_complexity_p90,False,2.992546557614035,-0.02487355336301031,-0.18765194090268852
stanfordnlp/dspy,cyclomatic_complexity_p90,False,0.47624274567504987,-0.012189133717451178,-0.34149051069652325
syncfusion/maui-toolkit,cyclomatic_complexity_p90,False,2.067494083819504,-0.01918743962172441,-0.11108566779870757
ucbepic/docetl,cyclomatic_complexity_p90,False,4.092054396901475,-0.03417746778954916,-0.05652655195180242
vllm-project/vllm,cyclomatic_complexity_p90,False,0.04098714037649745,0.0587326821563602,0.14737595580539173
wandb/weave,cyclomatic_complexity_p90,False,-0.3926011850238537,0.004773259560704548,0.07728625487897686
wieslawsoltes/Dock,cyclomatic_complexity_p90,False,0.03849577374446956,-0.04279836483202212,-1.4670846984825794
wieslawsoltes/Svg.Skia,cyclomatic_complexity_p90,False,3.1684106157925607,-0.05781433491056339,-1.222067964324309
wizarrrr/wizarr,cyclomatic_complexity_p90,False,5.4483904824566185,-0.04729330101464271,-2.627156980172748
writer/writer-framework,cyclomatic_complexity_p90,False,-1.5594683284108684,0.03859050359521771,1.0201560203316344
zenml-io/zenml,cyclomatic_complexity_p90,False,-0.8017744466595781,0.010405164482623398,0.4389914177314598
3rdIteration/btcrecover,design_smell_density_per_kloc,True,-0.910364901976683,-0.03382349635568078,
567-labs/instructor,design_smell_density_per_kloc,True,-0.2033759380502944,-0.01058040172595727,
AgentOps-AI/agentops,design_smell_density_per_kloc,True,-0.34592400671201773,-0.014544822173193828,
Albeoris/Memoria,design_smell_density_per_kloc,True,-0.5552326761120395,-0.020596122969641445,
Azure/azure-cosmos-dotnet-v3,design_smell_density_per_kloc,True,-0.12512157435880697,-0.005239186247588731,
Azure/azure-functions-core-tools,design_smell_density_per_kloc,True,2.00682885666521,0.06819566213527198,
Azure/data-api-builder,design_smell_density_per_kloc,True,-0.5046742860726521,-0.01944283429708662,
