full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi,repo_id,language,stars,log1p_stars,agent_pr_count,distinct_agents,dominant_agent,is_degenerate
wieslawsoltes/Svg.Skia,A1,design_smell_density_per_kloc,51,43,8,0.4611248442550822,0.0114969443726609,0.077122371120154,0.8821330225512675,-0.1396629030228409,0.1626567917681628,-0.0291188641513093,0.0151575950208915,0.0607994200547723,-0.0588277503922568,0.000590022089638,-0.0034652023883564,0.0059350516110438,47,1.3677360820914573,0.0292993304432351,4.9516106641169e-41,1.3103093944227164,1.425162769760198,0.0012022467922996,-0.0058216061012637,-0.0011087986754492,216883277.0,C#,601.0,6.400257445308821,76,1,OpenAI_Codex,False
567-labs/instructor,A1,implementation_smell_density_per_kloc,33,21,12,0.0776361822808602,-0.2148843133015215,0.1516916372086866,0.1672569718693884,-0.5121999222305474,0.0824312956275043,0.0192946263011947,0.0186056346038528,0.3082914108736577,-0.0171724175223568,0.0557616701247463,0.0010173670323859,0.89112279208485,29,0.9371289081076366,0.086420901591816,1.0182127614657018e-11,0.7677439409876772,1.106513875227596,0.0073673594467465,-0.0134226574832372,0.0154573915480091,653589102.0,Python,11095.0,9.314339961994667,51,4,Devin,False
AgentOps-AI/agentops,A1,implementation_smell_density_per_kloc,31,16,15,0.7752880530995921,0.6888776100011338,0.2055947124829507,0.0023928227195808,0.2859119735345504,1.0918432464677172,-0.0769086061437278,0.023070609400669,0.0024986059007621,-0.1221270005690392,-0.0316902117184165,0.0507982378658799,0.0028675099624065,27,0.5495998461070832,0.1364726751266686,0.0004118511958309,0.2821134028588126,0.8170862893553539,0.0154910396355285,0.0204358001802439,0.0811606755515159,679017521.0,Python,4722.0,8.460199469896118,51,3,Devin,False
Significant-Gravitas/AutoGPT,A1,implementation_smell_density_per_kloc,35,25,10,0.2415472586960287,-0.2122278735416743,0.3821152000176256,0.5826053756532362,-0.9611736655762204,0.5367179184928718,0.0018316456886255,0.0579806453410666,0.9750010276170612,-0.1118104191798651,0.1154737105571162,0.032602254915334,0.0233139399974634,31,0.9912795154884048,0.2030130385648746,3.004140735101924e-05,0.5933739599012504,1.3891850710755589,0.0136627865287831,0.005823193318919,0.059381316511749,614765452.0,Python,177379.0,12.086049602930443,43,2,OpenAI_Codex,False
airbytehq/airbyte,A1,implementation_smell_density_per_kloc,51,37,14,0.6790515342808519,0.0805013752318397,0.0668555166479081,0.2345763477998721,-0.0505354373980602,0.2115381878617396,-0.0185207100519558,0.0073431598811241,0.015109280585875,-0.0329133034189592,-0.0041281166849524,-0.0084598608980345,6.177301591193799e-06,47,1.5254522640470531,0.0347424261752003,8.274818973177954e-40,1.4573571087436603,1.5935474193504455,0.0016616861876092,-0.0117167658257487,-0.0052029559703202,283046497.0,Python,19011.0,9.8528256377339,218,3,Devin,False
crewAIInc/crewAI,A1,implementation_smell_density_per_kloc,29,14,15,0.1862469657502565,-0.649409495219815,0.382765058850711,0.1021856032688518,-1.3996290105672085,0.1008100201275785,-0.0014642599704605,0.0456976370106839,0.974692721946502,-0.091031628511401,0.0881031085704799,0.0534182837675081,0.1278629804663989,25,0.8094299670767306,0.2595628200548251,0.0045347724265618,0.3006868397692734,1.3181730943841878,0.0339196412909999,-0.0130642131628517,0.1199007806978681,710601088.0,Python,35096.0,10.465870935715712,327,1,Devin,False
dotnet/aspire,A1,implementation_smell_density_per_kloc,30,20,10,0.0852198989912991,0.1878521765316091,0.2000004130160509,0.3562424222578476,-0.2041486329798506,0.579852986043069,-0.0224420767847286,0.0302321000124195,0.4645438466843453,-0.0816969928090709,0.0368128392396136,0.0039304192081666,0.6990624892538531,26,2.380023619397153,0.1119130561948121,5.759588696402141e-18,2.160674029255321,2.5993732095389848,0.0100550234319202,-0.015777426718397,0.0236382651347303,696529789.0,C#,4723.0,8.460411177317253,169,1,Copilot,False
dotnet/aspnetcore,A1,implementation_smell_density_per_kloc,51,41,10,0.9295215453683257,-0.0159079074815411,0.0101810526397921,0.1248789196187251,-0.0358627706555338,0.0040469556924514,-0.0029009551576825,0.001610504575989,0.078077470616321,-0.0060575441266211,0.000255633811256,0.0039691841499318,3.0751301964151813e-25,47,2.797262139591885,0.0044568851978035,7.323307436649285e-94,2.7885266446041905,2.8059976345795805,0.0001919683904389,0.0035929261046713,0.0043454421951922,17620347.0,C#,36926.0,10.516698269778406,52,1,Copilot,False
dotnet/maui,A1,implementation_smell_density_per_kloc,51,41,10,0.5835901660876153,0.1325745024160885,0.0471298387133478,0.0071426486291719,0.0402000185379266,0.2249489862942504,-0.0100386291748527,0.0074554238764491,0.1846035224622946,-0.0246512599726929,0.0045740016229875,0.00336695395181,0.0004300131720147,47,2.6240475231414506,0.0206320235370269,2.6343272927666817e-61,2.5836087570088777,2.6644862892740235,0.0008886691431617,0.0016251624312129,0.0051087454724071,262395224.0,C#,22821.0,10.035480261994625,80,1,Copilot,False
elsa-workflows/elsa-core,A1,implementation_smell_density_per_kloc,51,41,10,0.3548907924979603,0.3494103811327433,0.1035068176869167,0.001484871940326,0.1465370184663865,0.5522837437991001,-0.077438338627259,0.0163695561791845,2.0783965394540605e-05,-0.1095226687384608,-0.0453540085160572,-0.0014649843259164,0.4565115539249317,47,1.8019851881799809,0.0453008539791393,7.619568361155234e-38,1.7131955143808677,1.8907748619790936,0.0019512129296427,-0.0052893616680161,0.0023593930161832,151148482.0,C#,7225.0,8.885440911707585,31,2,Copilot,False
ikamensh/flynt,A1,implementation_smell_density_per_kloc,51,42,9,0.7682949745418554,0.1919933911107472,0.0673245175138573,0.00644118779431,0.0600373367835868,0.3239494454379076,0.0233579932681521,0.011249149624092,0.0433483421018768,0.0013096600049317,0.0454063265313724,-0.0136837046856649,2.1097892649991515e-16,47,0.8050392445162535,0.0262973054815012,1.0741557585889227e-32,0.7534965257725111,0.8565819632599959,0.0011052119562438,-0.0158499201199029,-0.0115174892514269,174731004.0,Python,718.0,6.577861357721047,28,1,OpenAI_Codex,False
marin-community/levanter,A1,implementation_smell_density_per_kloc,46,37,9,0.380902219133067,-0.390428467604602,0.1938500202454927,0.0504361322879506,-0.7703745072857677,-0.0104824279234362,-0.0139285924620678,0.0338490288036853,0.6828044301836728,-0.080272688917291,0.0524155039931553,0.0203726047055214,8.285698349426006e-06,42,0.5190354513038128,0.0840308659432292,2.2115045835852338e-07,0.3543349540550835,0.683735948552542,0.004012658644768,0.012507793761776,0.0282374156492669,496005961.0,Python,628.0,6.444131256700441,71,1,OpenAI_Codex,False
microsoft/testfx,A1,implementation_smell_density_per_kloc,51,41,10,0.7938102859881097,0.1567143096039364,0.1927040527601278,0.4201821976169452,-0.2209856338059141,0.534414253013787,0.0404600028891042,0.0305452617716149,0.1917114507793382,-0.019408710183261,0.1003287159614695,-0.0413727845405267,4.419693316267014e-15,47,1.676382689336887,0.0845304801256674,1.7919925393017167e-24,1.5107029482905787,1.8420624303831952,0.0036409239844807,-0.048508995550109,-0.0342365735309445,65080725.0,C#,908.0,6.812345094177479,60,1,Copilot,False
mlflow/mlflow,A1,implementation_smell_density_per_kloc,51,41,10,0.8440144432140154,0.0685691985407118,0.0173268233055344,0.0002546953542224,0.0346086248618643,0.1025297722195592,0.0135886995572704,0.0027586538163449,1.0804604696936945e-05,0.0081817380772343,0.0189956610373064,-5.0047049740883074e-05,0.8796809947741034,47,0.5034650555332205,0.0076342554645526,5.596215820440181e-48,0.4885019148226973,0.5184281962437438,0.0003288251028885,-0.0006945442514024,0.0005944501519207,136202695.0,Python,21402.0,9.971286378100563,91,2,Copilot,False
wieslawsoltes/Dock,A1,implementation_smell_density_per_kloc,51,42,9,0.6917823450042035,0.2767714398311636,0.0936110408534258,0.0048526315889814,0.0932937997584488,0.4602490799038783,0.0706692004756405,0.0171009502889269,0.0001464601853628,0.0371513379093437,0.1041870630419374,-0.0054901573545522,0.0020303340953027,47,1.873543306302089,0.0399771474999991,4.1319537343402326e-41,1.7951880972020906,1.9518985154020876,0.0016801425311275,-0.0087832367155622,-0.0021970779935422,134182879.0,C#,1204.0,7.094234845924755,309,3,OpenAI_Codex,False
wieslawsoltes/Svg.Skia,A1,implementation_smell_density_per_kloc,51,43,8,0.1724242705533953,0.0225014955751123,0.1273114155556758,0.8604691163972902,-0.2270288789140121,0.2720318700642369,0.0231637522609655,0.0250217265172371,0.3593074440059152,-0.0258788317128193,0.0722063362347504,-0.0059586172213949,0.0042810733684293,47,3.105973322903896,0.0483665009177472,1.9270277949311202e-47,3.0111749811051114,3.200771664702681,0.0019846347921081,-0.0098485014139268,-0.0020687330288629,216883277.0,C#,601.0,6.400257445308821,76,1,OpenAI_Codex,False
