repo_id,full_name,track,unit,n_prs_found,total_count,is_undersampled,status,error
283046497.0,airbytehq/airbyte,B1,2025-06-01,10,40,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-07-01,10,27,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-08-01,10,323,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-09-01,10,282,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-10-01,10,42,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-11-01,10,18,False,ok,
283046497.0,airbytehq/airbyte,B1,2025-12-01,10,54,False,ok,
283046497.0,airbytehq/airbyte,B1,2026-01-01,10,20,False,ok,
283046497.0,airbytehq/airbyte,B1,2026-02-01,10,26,False,ok,
283046497.0,airbytehq/airbyte,B1,2026-03-01,10,38,False,ok,
283046497.0,airbytehq/airbyte,B2,before,10,32601,False,ok,
283046497.0,airbytehq/airbyte,B2,after,10,29338,False,ok,
136202695.0,mlflow/mlflow,B1,2022-01-01,1,1,True,ok,
136202695.0,mlflow/mlflow,B1,2022-02-01,2,2,True,ok,
136202695.0,mlflow/mlflow,B1,2022-03-01,5,5,True,ok,
136202695.0,mlflow/mlflow,B1,2022-04-01,7,7,True,ok,
136202695.0,mlflow/mlflow,B1,2022-05-01,1,1,True,ok,
136202695.0,mlflow/mlflow,B1,2022-06-01,10,10,False,ok,
136202695.0,mlflow/mlflow,B1,2022-07-01,4,4,True,ok,
136202695.0,mlflow/mlflow,B1,2022-08-01,10,13,False,ok,
136202695.0,mlflow/mlflow,B1,2022-09-01,10,25,False,ok,
136202695.0,mlflow/mlflow,B1,2022-10-01,4,4,True,ok,
136202695.0,mlflow/mlflow,B1,2022-11-01,10,19,False,ok,
136202695.0,mlflow/mlflow,B1,2022-12-01,10,10,False,ok,
136202695.0,mlflow/mlflow,B1,2023-01-01,1,1,True,ok,
136202695.0,mlflow/mlflow,B1,2023-02-01,10,18,False,ok,
136202695.0,mlflow/mlflow,B1,2023-03-01,10,26,False,ok,
136202695.0,mlflow/mlflow,B1,2023-04-01,5,5,True,ok,
136202695.0,mlflow/mlflow,B1,2023-05-01,10,10,False,ok,
136202695.0,mlflow/mlflow,B1,2023-06-01,10,22,False,ok,
136202695.0,mlflow/mlflow,B1,2023-07-01,5,5,True,ok,
136202695.0,mlflow/mlflow,B1,2023-08-01,9,9,True,ok,
136202695.0,mlflow/mlflow,B1,2023-09-01,10,15,False,ok,
136202695.0,mlflow/mlflow,B1,2023-10-01,10,11,False,ok,
136202695.0,mlflow/mlflow,B1,2023-11-01,10,22,False,ok,
136202695.0,mlflow/mlflow,B1,2023-12-01,10,22,False,ok,
136202695.0,mlflow/mlflow,B1,2024-01-01,1,1,True,ok,
136202695.0,mlflow/mlflow,B1,2024-02-01,10,12,False,ok,
136202695.0,mlflow/mlflow,B1,2024-03-01,10,14,False,ok,
136202695.0,mlflow/mlflow,B1,2024-04-01,10,24,False,ok,
136202695.0,mlflow/mlflow,B1,2024-05-01,10,15,False,ok,
136202695.0,mlflow/mlflow,B1,2024-06-01,0,0,True,ok,
136202695.0,mlflow/mlflow,B1,2024-07-01,10,15,False,ok,
136202695.0,mlflow/mlflow,B1,2024-08-01,10,22,False,ok,
136202695.0,mlflow/mlflow,B1,2024-09-01,6,6,True,ok,
136202695.0,mlflow/mlflow,B1,2024-10-01,10,24,False,ok,
